,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,SABOR (%), Vol (Rmill) ,FX (%) ,Vol (Rmill),,,,,,
"19-Dec-07,Wed",10.603," R 81,626 ",10.795," R 16,826 ",,,,,,
"20-Dec-07,Thu",10.574," R 77,300 ",10.866," R 15,589 ",,,,,,
"21-Dec-07,Fri",10.537," R 70,273 ",10.681," R 15,069 ",,,,,,
"24-Dec-07,Mon",10.616," R 74,411 ",10.913," R 13,583 ",,,,,,
"25-Dec-07,Tue",10.616," R 74,411 ",10.913," R 13,583 ",,,,,,
"26-Dec-07,Wed",10.616," R 74,411 ",10.913," R 13,583 ",,,,,,
"27-Dec-07,Thu",10.636," R 78,335 ",10.932," R 15,159 ",,,,,,
"28-Dec-07,Fri",10.631," R 75,863 ",10.743," R 17,747 ",,,,,,
"31-Dec-07,Mon",10.608," R 77,939 ",10.718," R 23,467 ",,,,,,
"01-Jan-08,Tue",10.608," R 77,939 ",10.718," R 23,467 ",,,,,,
"02-Jan-08,Wed",10.607," R 86,214 ",10.806," R 15,436 ",,,,,,
"03-Jan-08,Thu",10.634," R 78,219 ",10.829," R 15,180 ",,,,,,
"04-Jan-08,Fri",10.631," R 72,007 ",10.776," R 11,202 ",,,,,,
"07-Jan-08,Mon",10.638," R 67,785 ",10.875," R 12,284 ",,,,,,
"08-Jan-08,Tue",10.648," R 68,384 ",11.012," R 18,732 ",,,,,,
"09-Jan-08,Wed",10.623," R 67,116 ",10.993," R 22,744 ",,,,,,
"10-Jan-08,Thu",10.639," R 67,106 ",11.016," R 21,360 ",,,,,,
"11-Jan-08,Fri",10.643," R 67,362 ",10.990," R 17,588 ",,,,,,
"14-Jan-08,Mon",10.643," R 67,085 ",11.014," R 13,709 ",,,,,,
"15-Jan-08,Tue",10.637," R 64,356 ",10.933," R 14,138 ",,,,,,
"16-Jan-08,Wed",10.637," R 67,394 ",10.915," R 8,785 ",,,,,,
"17-Jan-08,Thu",10.642," R 67,330 ",10.810," R 10,890 ",,,,,,
"18-Jan-08,Fri",10.649," R 65,373 ",10.927," R 7,138 ",,,,,,
"21-Jan-08,Mon",10.649," R 66,513 ",0.000, R - ,,,,,,
